Station,Incubation,ExpID,Treat,Dilu,Id,Id1,Syn,Pro,Peuk,SynFSC,ProFSC,PeukFSC
K11,Night-1,K1,kDa30,0.819336337566571,E,1,10.28806401058746,175.7249338567071,0.7741325467672058,0.07191234826982226,0.013440779847860043,1.2933043130355226
K11,Night-1,K1,kDa30,0.819336337566571,E,2,10.50297049439045,179.9956971232101,0.8088983172510862,0.07196264929385231,0.013516657377294499,1.1970864326262625
K11,Night-1,K1,kDa30,0.819336337566571,E,3,10.496713998165452,178.24191349684318,0.8025783731288455,0.07177273651288578,0.013321661239015908,1.3313431509235896
K11,Night-1,K1,kDa30,0.819336337566571,E,4,10.588391160768968,177.79083369545384,0.8847357374637552,0.06900200717414247,0.013188947807170073,1.2050168792063154
K11,Night-1,K1,kDa30,0.5462242250443807,F,1,6.9350573681070955,121.16128655325441,0.5769301631929105,0.07110985608145326,0.013389858192744426,1.2843730606735941
K11,Night-1,K1,kDa30,0.5462242250443807,F,2,6.985669798819997,120.19577832311771,0.5144833686971289,0.07039899994808851,0.01305103198290308,1.2657425848663022
K11,Night-1,K1,kDa30,0.5462242250443807,F,3,7.006504802655021,121.62945937686936,0.5353016433911633,0.07203709496661206,0.012687017679919067,1.328521452497618
K11,Night-1,K1,kDa30,0.5462242250443807,F,4,7.300902300806516,119.79427530370097,0.5412466694473451,0.06902039243695604,0.012897847739841317,1.4179206615407733
K11,Night-1,K1,kDa30,0.27311211252219036,G,1,3.6404345961278066,62.8030647585931,0.2724710392334908,0.07200292564595207,0.013335049472345789,1.355553951588967
K11,Night-1,K1,kDa30,0.27311211252219036,G,2,3.642955588519223,61.83196940730129,0.2724497110245886,0.07134397904287519,0.01343828037349273,1.2247981842280604
K11,Night-1,K1,kDa30,0.27311211252219036,G,3,3.626369755980891,61.47925126018089,0.2865140186140455,0.0700416056683815,0.013029780805508817,1.23677914140186
K11,Night-1,K1,kDa30,0.27311211252219036,G,4,3.75269718164836,61.50940335608966,0.29212612791274656,0.07112135382649468,0.013080750550662174,1.2917634851857926
K11,Night-1,K1,T0,NA,T,NA,8.3514026054588,129.63001080128973,0.8666742807457845,0.10935940317790505,0.024126186410362252,1.4285206308166336
K11,Day-1,K2,um0.1&kDa30,1,A,1,8.558600542645898,173.33123095933243,0.7762755065357178,0.13193156716947202,0.029353652044023598,1.523070153385856
K11,Day-1,K2,um0.1&kDa30,1,A,2,8.170451021719689,173.60170077066283,0.8121526865431923,0.12883076865225213,0.029335860565806067,1.5723580378034663
K11,Day-1,K2,um0.1&kDa30,1,A,3,8.489460768698308,170.07142009550378,0.773038191488246,0.1335910582443307,0.028354327235755226,1.5777800550979484
K11,Day-1,K2,um0.1&kDa30,1,A,4,8.346643043737146,173.15288733101136,0.8349887587631166,0.13096511119672954,0.02944170812530588,1.5441675017134813
K11,Day-1,K2,um0.1,0.819336337566571,B,1,6.822980799636066,143.32246997656972,0.6212824063202866,0.13763660964152047,0.02895630608660249,1.54537734158134
K11,Day-1,K2,um0.1,0.819336337566571,B,2,7.112603592790242,141.39892311996647,0.603512732338165,0.14036416531665868,0.029267571162269475,1.5075893278318222
K11,Day-1,K2,um0.1,0.819336337566571,B,3,6.96618292893974,141.6323687957968,0.6193097651368288,0.14276446328449616,0.028742100511640202,1.5181993124615754
