Id,Id1,Bac,Virus
M14,1,614.3555563243261,9524.80624539574
M14,2,614.1426115500512,10354.456433374591
M14,3,617.97626342777,10000.406270876989
M15,1,631.6495462991874,9991.987172126408
M15,2,620.6455574588659,9843.65223972499
M15,3,626.2323579343677,9699.68965099425
M16,1,603.5373290858472,9171.304663539897
M16,2,604.9091332607924,9582.557076116042
M16,3,609.9309666796311,8841.439327910326
M17,1,590.8800824305158,8767.02159094805
M17,2,591.990636670197,8810.59753563213
M17,3,589.9263403351811,9068.764945527015
M18,1,614.2644316825838,9531.166758291054
M18,2,603.1201266622215,9853.443384462926
M18,3,623.7571409621337,9492.343236290739
M19,1,644.1918636685456,8837.494624969546
M19,2,626.5910262467403,9465.649645583046
M19,3,627.3841786718915,9031.96990372859
M2,1,614.6426719391928,9732.123942300845
M2,2,627.2213898717961,10416.074031533615
M2,3,618.4253358489183,10039.195959808512
M20,1,670.1808739123782,9430.926939124149
M20,2,677.8885019007238,9405.96629379395
M20,3,669.8971297226667,9505.413136648054
M21,1,669.9692029983735,9391.422333232222
M21,2,668.5516020193061,9469.599441784894
M21,3,672.5225975704476,9171.674056290389
M22,1,689.8928975933304,9052.188915864697
M22,2,685.6241862431405,9895.41237443973
M22,3,679.8324247766661,9811.960369089062
M23,1,675.0107129794875,8757.713859691421
M23,2,678.7563551616214,9188.754564929292
M23,3,681.1725918997361,9852.752751067292
M24,1,646.2892766553625,8934.362213189297
M24,2,658.1875235591538,9860.1499382758
M24,3,662.2744237533967,9202.668908510203
M25,1,626.804509060054,9002.832079879918
M25,2,628.9262075184357,9162.822113692539
M25,3,630.6521777773594,8920.479143114966
M26,1,646.6541694873066,8819.99509163022
M26,2,638.8167364566073,9216.446574406777
M26,3,648.3471980009285,9648.936055226957
M27,1,640.3764705012741,8357.919454113682
M27,2,640.2447388927529,8952.992443891882
M27,3,639.4899725779652,8172.1316019164515
M28,1,636.6376355335001,8692.29854241456
M28,2,640.7560457586005,9861.383844430657
M28,3,645.7977472111377,9364.081170275846
M29,1,592.7426055649286,8798.903564071366
