cruise,time_n,Abu_Euk,Abu_Pro,Abu_Syn,Bio_Euk,Bio_Pro,Bio_Syn,Dia_Euk,Dia_Pro,Dia_Syn
KN210-04,2013-04-24T03:30:00Z,0.9455979862008886,0.9961958948705176,1.015792822043982,0.3820157672161383,0.6903061774274989,0.7540436582157467,0.784945063887567,0.8767302170161144,0.8952700220677678
KN210-04,2013-04-24T04:00:00Z,0.821942865991597,0.9905099371067723,0.9616553292845209,0.34828151844125727,0.6728143421117811,0.6863727340780064,0.7439804616334216,0.8688263675655276,0.8862373829618907
KN210-04,2013-04-24T04:30:00Z,0.9118295020132395,0.9895631662110136,0.9675296530066501,0.38242159556830124,0.6667246266113522,0.6833415994183929,0.7494019821108453,0.8659609633022396,0.8831391999433018
KN210-04,2013-04-24T05:00:00Z,0.8656042920963344,0.9861438063564767,0.9510947718130165,0.3542757195862096,0.6508777300715567,0.652095935940751,0.7472734050901645,0.8602648893155502,0.8707656987455961
KN210-04,2013-04-24T05:30:00Z,0.8152819224913155,0.9800860769404921,0.9283784515863324,0.34118415009424397,0.6458955592844209,0.6193981993153526,0.7539775589343584,0.8578343925229172,0.8622348248816759
KN210-04,2013-04-24T06:00:00Z,0.7940136994225033,1.004510210487254,0.9653600554687496,0.3022119234406473,0.6547907384581025,0.6338859409951724,0.733725275793602,0.8575274307511291,0.8627215853775223
KN210-04,2013-04-24T06:30:00Z,0.9743621545559848,1.0029752686688458,0.9748234659494567,0.42497300226685153,0.6582261781359867,0.6450644209765638,0.7648053486812979,0.860594800876978,0.8594860549404411
KN210-04,2013-04-24T07:00:00Z,0.9986676506764522,1.0115728933801693,0.9796467083766751,0.44617126021736714,0.6801936979097865,0.6523461121457118,0.7832526802486516,0.8666066774575605,0.8661823402514022
KN210-04,2013-04-24T07:30:00Z,0.9568972401130177,1.00287396803025,0.9472470530032484,0.4494871298934738,0.6938133207930335,0.6408087358562333,0.781715111002189,0.874996685385881,0.8748311453706132
KN210-04,2013-04-24T08:00:00Z,0.9026034958559219,0.9974510221183225,0.9098625847226696,0.3881013154346711,0.7110860093090308,0.6405710973776905,0.7712660223920662,0.8889043751816883,0.8943512198398462
KN210-04,2013-04-24T08:30:00Z,0.874496106161856,0.9847932173178167,0.8436053912168407,0.39413401399139997,0.7309896030134271,0.6336541767888912,0.7788721438193997,0.901548705347863,0.9104124938457018
KN210-04,2013-04-24T09:00:00Z,0.8428467599355212,0.9709736914485252,0.8068489617151531,0.41528313309630205,0.7463171015825416,0.6303523514644277,0.8087896050448681,0.9165911264415433,0.9341265562478664
KN210-04,2013-04-24T09:30:00Z,0.8352646323018605,0.9697609023232024,0.7981934547366818,0.4438351007696596,0.7868373224639454,0.6462635445015976,0.8319765509208072,0.9332441607032792,0.948192715421321
KN210-04,2013-04-24T10:00:00Z,0.7135922250411502,0.9637226463757658,0.767049605155297,0.3293851963086316,0.8002440387352572,0.6347816056447578,0.8002032767275591,0.944221546561812,0.9546196422938502
KN210-04,2013-04-24T10:30:00Z,0.6576886860334121,0.9445770955731067,0.7161964466154471,0.2951834874377726,0.7991796713423349,0.6191804635791945,0.7980440134308464,0.948973051452997,0.9718710278645661
KN210-04,2013-04-24T11:00:00Z,0.7053711163635416,0.9610827365682291,0.6965714054735195,0.4020275032336404,0.8545202774596348,0.6232069535643701,0.8568205825579489,0.9680454247586078,0.985557449909263
KN210-04,2013-04-24T11:30:00Z,0.7267459989253238,0.9726202787649749,0.6921336674089621,0.5436141760459838,0.904730660025298,0.6649221691275995,0.9219067566446993,0.983832395079747,0.9972931987618139
KN210-04,2013-04-24T12:00:00Z,0.9076103874969199,0.9708671844056899,0.7181092978133505,0.7674322406696478,1.0721593744998237,0.7262048434224331,1.0192711876885938,1.0550277474280643,1.0352616721138035
KN210-04,2013-04-24T12:30:00Z,1.0259943512865868,0.970322870794171,0.7560212705568881,1.3298471868807757,1.1331482117266818,0.8087079412498912,1.1444865238059259,1.0745646242921907,1.0557266378870929
KN210-04,2013-04-24T13:00:00Z,1.049013454415995,0.9642791510761541,0.756942134868177,1.3809458230413192,1.2037764382709422,0.8763251217897932,1.1798687133812589,1.106377751131507,1.078868825470729
